Tích cực,Trung tính,Tiêu Cực,Toxic
tuyệt vời,bình thường,ghét,mẹ mày
đỉnh cao,ổn,tồi tệ,nigger
hết sẩy,không có ý kiến,kinh khủng,racist
tuyệt hảo,trung lập,buồn,segg
quá chất,đúng,thất vọng,ninh gà
xuất sắc,được,không hài lòng,ngu 
ngon lành,hợp lý,phàn nàn,địt mẹ
tuyệt cú mèo,tương đối,tức giận,cứt
mê ly,chấp nhận được,bực bội,gay
tuyệt đỉnh,vừa vừa,chán nản,lgbt 
đỉnh của chóp,không tệ,khó chịu,mẹ mày béo
okela,không tốt,cục súc,con chó
như mơ,đủ,điên,loz
như ý,không sao,dở ẹc,láo
tuyệt trần,khá ổn,vô vị,đm
like mạnh,được rồi,nhảm nhí,vl
đáng yêu,tàm tạm,nhạt,đéo
yêu thích,không đặc biệt,không ưa,nigga
rất chi là ok,không khác biệt,đáng ghét,non
tuyệt vời ông mặt trời,như vậy,thất bại,ggez
max đỉnh,như cũ,vô vọng,ez
siêu đẹp,vừa phải,căng thẳng,cặc
hết ý,không thay đổi,stress,cc
số một,ổn định,nản lòng,vcl
cực phẩm,bình dị,bất lực,cái đéo
mãn nguyện,nhẹ nhàng,không vui,súc vật
hạnh phúc,không vấn đề,buồn chán,gay
vui vẻ,không có gì mới,chán,????
sướng rơn,không nổi bật,tệ hại,béo
lung linh,không có gì đặc sắc,đắng,bel
thần thánh,không xấu,tồi,vãi loz
đỉnh kout,không hay,sầu,đái 
bao phê,vừa đủ,bức xúc,lol
ngon lành cành đào,vừa ý,khó ưa,loz
mê đắm,trung bình,mệt mỏi,
vừa lòng,đồng ý,không thích,
đỉnh nhất quả đất,cân bằng,phèn,
chất phát ngất,không rõ ràng,nản,
tuyệt mỹ,mid,căm ghét,
thăng hoa,vibe,phiền phức,
làm mưa làm gió,flex,nhức đầu,
hot hit,glow up,không chịu nổi,
miễn bàn,bet,ức chế,
không có gì để chê,cap,tiêu cực,
quá tuyệt,high-key,xấu hổ,
siêu phẩm,low-key,thất vọng tràn trề,
đỉnh của đỉnh,sus,chán đời,
thiên đường,tea,phá sản,
cảm ơn nhiều,drip,tuyệt vọng,
yêu lắm,yeet,tụt mood,
thật tuyệt,mood,quạo,
Thích,stan,khó ở,
vui vẻ,simp,chán ngấy,
vui,zaddy,bó tay,
yum yum,boujee,cú,
yummi,fam,đau khổ,
10đ,ghost,khóc ròng,
hay,bop,trầm cảm,
Yêu,rizz,cay cú,
Thương,finna,bầm dập,
Quý,CEO,hư hỏng,
Mến,cancel culture,chịu đựng,
Cảm thông,basic,đầy tiêu cực,
Đồng cảm,salty,tối tăm,
Vui,big yikes,lạnh lùng,
Hạnh phúc,bougie,bực mình,
Sung sướng,bussin,không chịu được,
Niềm nở,cap,rầu,
Hào hứng,high-key,đau lòng,
Tự hào,low-key,chán nản,
Tin tưởng,sus,không chấp nhận,
Trung thực,tea,khó qua,
Thành thật,drip,đắng lòng,
Biết ơn,yeet,dở,
Tốt,mood,tiêu chảy,
Hiền,stan,nuwng,
Lành,simp,toxic,
Ngoan,zaddy,thất thần,
Khéo,boujee,mất phương hướng,
Giỏi,fam,trễ deadline,
Thông minh,ghost,không chấp nhận được,
Sáng tạo,bop,kém,
Năng động,rizz,xấu,
Chăm chỉ,finna,tục tĩu,
Kiên trì,CEO,quạo ghê,
Dũng cảm,cancel culture,hận,
Cần cù,basic,đen tối,
Trung thành,salty,mất hứng,
Khiêm tốn,big yikes,ảo tưởng,
Lịch sự,bougie,đau khổ tột cùng,
Đẹp,bussin,tiêu tan,
Xinh,tao,hư hại,
Duyên dáng,mày,chịu đắng cay,
Lộng lẫy,gacha,chọc tức,
Rực rỡ,Nhà,lo lắng,
Tuyệt vời,Cây,buồn bã,
Hoàn hảo,Nước,bực dọc,
Tinh tế,Đất,xì trét,
Sang trọng,Mây,chán nản tột độ,
Tiến bộ,Trời,ức chế nặng nề,
Phát triển,Gió,kém hiệu quả,
Thành công,Mưa,láo,
Thắng lợi,Nắng,woke,
Vượt qua,Sông,điên,
Khỏe mạnh,Núi,cô ấy 10,
Cải thiện,Đường,liemhaihondai,
Nâng cao,Xe,navi,
May mắn,Sách,tuổi,
Cơ hội,Bút,Buồn,
Thuận lợi,Bàn,Chán,
Thành công,Ghế,Giận,
,Đi,Ghét,
,Đứng,Hận,
,Ngồi,Khổ,
,Nằm,Đau,
,Ăn,Sợ,
,Uống,Lo lắng,
,Nói,Xấu hổ,
,Nghe,Tủi thân,
,Nhìn,Cô đơn,
,Làm,Thất vọng,
,Nghĩ,Xấu,
,Cao,Ác,
,Thấp,Độc ác,
,To,Gian,
,Nhỏ,Dối,
,Dài,Lười,
,Ngắn,Hèn,
,Tròn,Nhát,
,Vuông,Kiêu căng,
,Nóng,Ích kỷ,
,Lạnh,Tham lam,
,Trắng,Ghen tị,
,Đen,Đố kỵ,
,Nay,Trộm,
,Mai,Cướp,
,Hôm,Giết,
,Qua,Phá,
,Trước,Hủy,
,Sau,Lừa,
,Trên,Gạt,
,Dưới,Thua,
,Trong,Bại,
,Ngoài,Thất bại,
,Một,Mất,
,Hai,Thiếu,
,Ba,Hỏng,
,Bốn,Vỡ,
,Nhiều,Bệnh,
,Ít,Chết,
,Tôi,Tệ,
,Anh,Dở,
,Chị,Xấu xí,
,Em,Bẩn thỉu,
,Nó,Nguy hiểm,
,Họ,Ám ảnh,
,Ai,Sỉ nhục,
,Gì,Lăng mạ,
,Nào,Căm thù,
,Đây,Ghen ghét,
,Đó,Đố kỵ,
,Kia,Thù hận,
,con cá,Dối trá,
,,Lừa dối,
,,Phản bội,
,,Áp lực,
,,Căng thẳng,
,,Tự ti,
,,Tuyệt vọng,
,,Nghiện,
,,Rượu chè,
,,Ma túy,
,,Cờ bạc,
,,Mê tín,
,,scam,
,,cay,
,,về nhà đi,
,,khổ,
,,bất hiếu,